lisan/06/05/00	он считает	يَحْسِبُ
lisan/06/05/01	цена	ثَمَن
lisan/06/05/02	требуется	مَطْلُوب
lisan/06/05/03	сдача, остаток	بَاقِي
lisan/06/05/04	принадлежность, предмет / +мн.	أَدَاة / أَدَوَات
lisan/06/05/05	продавец	بَائِع
lisan/06/05/06	мыло (кусок)	صَابُونَة
lisan/06/05/07	щётка	فُرْشَاة
lisan/06/05/08	паста	مَعْجُون
lisan/06/05/09	покупки	مُشْتَرَيَات
lisan/06/06/a	встань!	قِفْ
lisan/06/06/b	сотри!	امْسَحْ
lisan/06/06/c	доставь!	أَحْضِرْ
lisan/06/06/d	слушайте!	اسْمَعُوا
lisan/06/07/a	шкаф	دُلَاب
lisan/06/07/b	трюмо	تَسْرِيحَة
lisan/06/07/c	вешалка	شَمَّاعَة
lisan/06/07/d	балкон	شُرْفَة
lisan/06/07/e	софа	مَقْعَد
lisan/06/07/f	люстра	ثُرَيَّا
lisan/06/07/g	чашка	فِنْجَان
lisan/06/07/h	очаг, горелка, газовая плита	مَوْقِد
lisan/06/07/i	миксер	خَلَّاط
lisan/06/07/j	мойка	غَسَّالَة
lisan/06/07/k	метла	مِكْنَسَة
lisan/06/07/l	протиралка	مَسَّاحَة
lisan/06/07/m	ведро	دَلْو
lisan/06/07/n	полотенце	مِنْشَفَة
lisan/06/07/o	корзина для бумаги	سَلَّة مُهْمَلَاتٍ
lisan/06/07/p	принтер	طَابِعَة
lisan/06/07/q	счёт	فَاتُورَة
lisan/06/07/r	купля	شِرَاء
lisan/06/07/s	устрой, сделай	اِجْعَلْ
lisan/06/07/t	полный, кипящий жизнью, цветущий	عَامِر
